species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Paenibacillus phyllosphaerae,GCF_014192105.1,"Paenibacillus phyllosphaerae DSM 17399 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from phyllosphere of Phoenix dactylifera.","['variable', 'negative']","[None, None]","['yes', 'yes']",-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,+,+,+,+,+,-,"['-', '+']","['+', '-']",-,+,-,-,"['+', '-']",+,+,+,+,-,+,+,+,+,+,+,-,"['+', '-']",+,+,+,-,"['+', '-']",+,"['+', '-']",-,+,-,"['+', '-']","['+', '-']",+,-,"['+', '-']",,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/192/105/GCF_014192105.1_genomic.fna.gz
Streptomonospora salina,GCF_014204715.1,"Streptomonospora salina DSM 44593 is a mesophilic, Gram-positive, filament-shaped bacterium that was isolated from soil sample from a salt lake.",positive,filament-shaped,no,-,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/204/715/GCF_014204715.1_genomic.fna.gz
Ruegeria marina,GCF_900101475.1,"Ruegeria marina ZH17 is a mesophilic, Gram-negative, rod-shaped bacterium that was isolated from marine sediment.",negative,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/101/475/GCF_900101475.1_genomic.fna.gz
Nocardia paucivorans,GCF_000308675.1,"Nocardia paucivorans DSM 44386 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from sputum.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/308/675/GCF_000308675.1_genomic.fna.gz
Macrococcus lamae,GCF_004359545.1,"Macrococcus lamae DSM 19359 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from llama skin.",positive,coccus-shaped,no,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/545/GCF_004359545.1_genomic.fna.gz
Arcticibacter tournemirensis,GCF_006716645.1,"Arcticibacter tournemirensis TF5-37.2-LB10 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from fault water of a deep Toarcian argillite layer.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,-,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/716/645/GCF_006716645.1_genomic.fna.gz
Tsukamurella paurometabola,GCF_000092225.1,"Tsukamurella paurometabola DSM 20162 is an aerobe, mesophilic, Gram-positive bacterium of the family Tsukamurellaceae.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,"['+/-', '+']",-,-,-,"['-', '+/-']",-,-,-,-,"['+/-', '+']","['-', '+/-', '+']","['+/-', '+']",-,-,-,-,-,-,-,-,-,"['+/-', '+']",-,-,"['+', '+/-']",-,-,-,-,-,"['-', '+/-', '+']","['-', '+']",-,-,-,-,-,-,-,"['+/-', '+']",-,-,-,-,-,-,"['-', '+']",-,-,-,-,+,+,-,+,+,-,+,-,-,,,,+,,,-,-,,,"['+', '-']",-,,+,+,+,-,+,-,-,,,,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,+,-,-,-,+,-,+,-,+,-,+,+,-,+,+,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/092/225/GCF_000092225.1_genomic.fna.gz
Rhodococcus pseudokoreensis,GCF_017068395.1,Rhodococcus pseudokoreensis R 79 is a bacterium that was isolated from Rhizosphere of young apple trees grown in a greenhouse experiment using grassland soil.,,,,+,-,+/-,-,+,+,-,-,-,+,+/-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,+/-,,,,,+,,,,+,,,+,,,+/-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,-,+,+,+/-,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/017/068/395/GCF_017068395.1_genomic.fna.gz
Cyclobacterium amurskyense,GCF_001050135.1,"Cyclobacterium amurskyense KCTC 12363 is an aerobe, chemoorganotroph, Gram-negative bacterium that forms circular colonies and was isolated from Environment, Sea water.","['negative', 'negative', 'negative']","[None, None, None]","['no', 'no', 'no']",+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,-,-,,,-,,,-,,+,+,+,+,-,-,-,+,-,-,,-,+,,,-,,+,+,+,+,+,+,,-,-,,,-,-,+,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/050/135/GCF_001050135.1_genomic.fna.gz
Pseudooceanicola nitratireducens,GCF_900109195.1,"Pseudooceanicola nitratireducens DSM 29619 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from surface water, 30 meters under water.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,+,,,,+/-,,,-,,,+/-,,,,,,,,,,,,,,,,,,,+/-,,,,,,,,,,,-,-,,-,-,-,-,-,+,-,-,+,+,+,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/109/195/GCF_900109195.1_genomic.fna.gz
Mycobacterium asiaticum,GCF_000613245.1,"Mycobacterium asiaticum 3056 is an obligate aerobe, mesophilic, rod-shaped human pathogen that was isolated from Rhesus monkey .",,rod-shaped,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/613/245/GCF_000613245.1_genomic.fna.gz
Fructilactobacillus sanfranciscensis,GCF_001436035.1,"Fructilactobacillus sanfranciscensis L-12 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from San Francisco sourdough.",positive,rod-shaped,no,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/436/035/GCF_001436035.1_genomic.fna.gz
Pseudomonas japonica,GCF_900188455.1,"Pseudomonas japonica WL is a mesophilic, Gram-negative bacterium that was isolated from activated sludge from sewage treatment plant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/188/455/GCF_900188455.1_genomic.fna.gz
Dyadobacter crusticola,GCF_000701505.1,"Dyadobacter crusticola CP 183-8 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from biological soil crusts.","['negative', 'negative', 'negative', 'negative']","[None, None, None, None]","['no', 'no', None, 'no']",+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,-,-,-,+/-,+/-,-,+/-,-,-,+/-,+/-,+/-,+/-,+/-,-,-,-,-,-,-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,+/-,-,+/-,+/-,+/-,+/-,-,+/-,+/-,+/-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/701/505/GCF_000701505.1_genomic.fna.gz
Avibacterium avium,GCF_900454535.1,"Avibacterium avium DSM 18557 is a mesophilic, Gram-negative, rod-shaped animal pathogen that was isolated from infraorbital sinus of chicken.",negative,rod-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/454/535/GCF_900454535.1_genomic.fna.gz
Cellulomonas bogoriensis,GCF_000767165.1,"Cellulomonas bogoriensis 69B4 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from sediment and water.","['positive', 'positive']","[None, None]","['yes', 'no']",-,+,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,-,,,,,-,,,,,,+,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,+,-,-,-,-,-,+,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/767/165/GCF_000767165.1_genomic.fna.gz
Streptococcus urinalis,GCF_000188055.2,"Streptococcus urinalis DSM 16830 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human urine, 55-years old female with cystitis.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/188/055/GCF_000188055.2_genomic.fna.gz
Enterococcus moraviensis,GCF_000407445.1,"Enterococcus moraviensis Svec 330 is a microaerophile, spore-forming, mesophilic bacterium that was isolated from spring Hajek.",positive,ovoid-shaped,no,-,+,+,-,+,-,+,-,+,+,+,-,+,-,+,+,-,-,-,"['+', '-']",-,-,+/-,"['+', '-']",-,-,-,-,"['+', '-']",+,+,+,-,-,-,"['+/-', '-']",+,-,-,"['+', '-']",+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,-,-,"['+', '-']","['+/-', '-']",-,"['+', '-']",-,-,-,-,-,-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/445/GCF_000407445.1_genomic.fna.gz
Caulobacter henricii,GCF_001414055.1,"Caulobacter henricii CB 4 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from pond water.",negative,rod-shaped,no,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/414/055/GCF_001414055.1_genomic.fna.gz
Lacinutrix himadriensis,GCF_001418105.1,"Lacinutrix himadriensis E4-9a is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from Environment, Brown clay-like sediment sticky with pebbles and vegetation.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/418/105/GCF_001418105.1_genomic.fna.gz
Pannonibacter phragmitetus,GCF_000382365.1,"Pannonibacter phragmitetus C6/19 is a facultative anaerobe, chemoorganotroph, mesophilic bacterium that forms circular colonies and was isolated from surface of decomposing reed rhizomes.","['negative', 'negative']","[None, None]","['yes', 'no']",+,+,+,-,+,-,-,+,-,+,+,+,+,-,+,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,+,-,-,,-,-,,,+,,+,-,-,+,-,+,,-,-,,,-,+,-,-,-,,,-,-,-,+,+,,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/382/365/GCF_000382365.1_genomic.fna.gz
Arthrobacter cryoconiti,GCF_020905375.1,"Arthrobacter cryoconiti Cr6-08 is an aerobe, psychrophilic, Gram-positive bacterium that was isolated from alpine glacier cryoconite.","['positive', 'positive']","[None, None]","['no', 'yes']",-,+,+,+/-,+,+,+/-,-,-,+/-,+/-,+,+,-,+,-,+/-,+/-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,+,-,-,-,-,+,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/020/905/375/GCF_020905375.1_genomic.fna.gz
Silvibacterium dinghuense,GCF_004123295.1,"Silvibacterium dinghuense DHOF10 is an aerobe, chemoheterotroph, Gram-negative bacterium that forms circular colonies and was isolated from forest soil.",negative,coccus-shaped,no,+,+/-,+/-,-,+,+,-,+,-,+,+,+/-,+,-,-,+,+,-,+,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/123/295/GCF_004123295.1_genomic.fna.gz
Nocardia mexicana,GCF_001613165.1,"Nocardia mexicana DSM 44952 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from pus samples of Mexican patients.",positive,filament-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,,,-,,,-,,-,"['-', '+']",-,-,-,-,-,-,-,-,,-,-,,,"['-', '+']",,-,-,-,-,-,+,,-,-,,-,-,-,-,-,-,,,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/613/165/GCF_001613165.1_genomic.fna.gz
Stenotrophomonas nitritireducens,GCF_001431425.1,"Stenotrophomonas nitritireducens L2 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from laboratory scale biofilter.",negative,rod-shaped,yes,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,+,,,+,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,+,+,-,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/431/425/GCF_001431425.1_genomic.fna.gz
Dermacoccus nishinomiyaensis,GCF_900447535.1,"Dermacoccus nishinomiyaensis 59 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from water.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,-,-,-,+,-,+,-,-,,,,+,,,,,,,+,,,+,+,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/447/535/GCF_900447535.1_genomic.fna.gz
Lacticaseibacillus camelliae,GCF_001311195.1,"Lacticaseibacillus camelliae MCH3-1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from fermented tea leaves .",positive,rod-shaped,no,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/311/195/GCF_001311195.1_genomic.fna.gz
Brachyspira intermedia,GCF_000223215.1,"Brachyspira intermedia PWS/A is an anaerobe, mesophilic, Gram-negative bacterium of the family Brachyspiraceae.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/223/215/GCF_000223215.1_genomic.fna.gz
Streptococcus pseudopneumoniae,GCF_002087075.1,"Streptococcus pseudopneumoniae O 108 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human sputum, pneumonia.",positive,coccus-shaped,no,+,+,+,-,+,+,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+/-,+/-,-,-,-,-,-,-,-,-,+,+/-,-,-,+/-,-,+/-,+/-,-,+,-,-,-,-,+/-,+/-,-,+/-,+/-,-,-,-,-,-,+/-,+/-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/087/075/GCF_002087075.1_genomic.fna.gz
Microbacterium ginsengisoli,GCF_000956535.1,"Microbacterium ginsengisoli DSM 18659 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from soil, ginseng field.","['positive', 'positive']","[None, None]","['no', None]",-,-,+,+,+,+,-,+,+,+,+,-,-,-,+,-,-,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,+,,,,,,-,,,,,,,,,,,,,-,-,-,-,-,-,+,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/956/535/GCF_000956535.1_genomic.fna.gz
