species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Streptococcus uberis,GCF_900475595.1,Streptococcaceae,"Streptococcus uberis DSM 20569 is a microaerophile, mesophilic, Gram-positive human pathogen of the family Streptococcaceae.",positive,coccus-shaped,no,+,-,+,-,+,-,-,-,-,+,+,-,-,+,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/475/595/GCF_900475595.1_genomic.fna.gz
Pseudomonas plecoglossicida,GCF_000730665.1,Pseudomonadaceae,"Pseudomonas plecoglossicida CCUG 49623 is an aerobe, mesophilic, Gram-negative animal pathogen that was isolated from diseased ayu, Plecoglossus altevelis.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,+,-,-,,,,,,,,,-,-,-,+,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,-,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/730/665/GCF_000730665.1_genomic.fna.gz
Enterococcus canis,GCF_001544375.1,Enterococcaceae,"Enterococcus canis DSM 17029 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from dog, anal swab.",positive,coccus-shaped,no,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,"['+/-', '-']",-,-,+,"['+', '-']",+,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,-,-,-,"['+', '-']",-,-,"['+', '-']","['+', '-']",+,+,+,+,"['+', '-']","['+', '-']","['+', '-']",-,-,"['+', '-']",-,-,-,-,-,-,"['+', '-']","['+', '-']",-,"['+/-', '-']",-,-,-,-,"['+', '-']","['+', '-']",-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/375/GCF_001544375.1_genomic.fna.gz
Peribacillus frigoritolerans,GCF_001636405.1,Bacillaceae,"Peribacillus frigoritolerans WS 1085 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,"['-', '+/-']",+/-,-,-,-,-,-,-,-,-,-,+/-,-,-,"['+', '-']",-,-,-,-,-,"['-', '+/-']",+/-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,"['+', '-']","['+', '-']",-,,,,-,,,,,,,-,,,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/636/405/GCF_001636405.1_genomic.fna.gz
Streptococcus salivarius,GCF_000785515.1,Streptococcaceae,"Streptococcus salivarius 275 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from blood from patient with acute articula rheumatism.",positive,coccus-shaped,no,+,+,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/785/515/GCF_000785515.1_genomic.fna.gz
Lactococcus lactis,GCF_029023865.1,Streptococcaceae,"Lactococcus lactis OJ is a facultative anaerobe, mesophilic, Gram-positive bacterium of the family Streptococcaceae.",positive,coccus-shaped,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/029/023/865/GCF_029023865.1_genomic.fna.gz
Kingella denitrificans,GCF_000190695.1,Neisseriaceae,"Kingella denitrificans A358/72 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from pharynx.",negative,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,+/-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+/-,-,-,-,-,+/-,+,-,-,+/-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/190/695/GCF_000190695.1_genomic.fna.gz
Streptococcus canis,GCF_900636575.1,Streptococcaceae,"Streptococcus canis STR-T1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from bovine mastitis.",positive,coccus-shaped,no,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,+,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/636/575/GCF_900636575.1_genomic.fna.gz
Pseudomonas simiae,GCF_900111895.1,Pseudomonadaceae,"Pseudomonas simiae OLi is an aerobe, mesophilic, Gram-negative animal pathogen that was isolated from lung of female monkey with pneumonitis and pneumonia.",negative,rod-shaped,yes,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/111/895/GCF_900111895.1_genomic.fna.gz
Brochothrix campestris,GCF_000525915.1,Listeriaceae,"Brochothrix campestris S3 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from soil.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,+,-,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/525/915/GCF_000525915.1_genomic.fna.gz
Alkalihalophilus pseudofirmus,GCF_029094545.1,Bacillaceae,"Alkalihalophilus pseudofirmus C 324 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from lake bank soil.",positive,rod-shaped,yes,-,+,+,-,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,+/-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+/-,+,-,-,+/-,+,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/029/094/545/GCF_029094545.1_genomic.fna.gz
Macrococcus hajekii,GCF_004359505.1,Staphylococcaceae,"Macrococcus hajekii DSM 19357 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from llama skin.",positive,coccus-shaped,no,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/505/GCF_004359505.1_genomic.fna.gz
Mammaliicoccus sciuri,GCF_002901825.1,Staphylococcaceae,"Staphylococcus sciuri DSM 20345 is an aerobe, mesophilic, Gram-positive animal pathogen that was isolated from skin of eastern gray squirrel .",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,-,-,"['+/-', '+']",+,+,+,-,-,-,"['-', '+']",+,"['+/-', '+']",-,"['-', '+']","['+/-', '+']",+,+,+,+,"['+/-', '+']",+,"['-', '+']",-,+,+,-,+,-,-,-,"['-', '+']",+,"['+/-', '+']",-,-,+/-,-,"['-', '+']",-,"['-', '+']",-,-,,,,,,,,,,,-,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,+,+,+,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/901/825/GCF_002901825.1_genomic.fna.gz
Mesobacillus foraminis,GCF_004340465.1,Bacillaceae,"Mesobacillus foraminis CV53 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from alkaline groundwater.",positive,rod-shaped,yes,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,+,-,+/-,+,"['+/-', '+']",+,-,-,+,+,+,+,+,-,+,-,+,+,+,-,"['+/-', '+']",+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,"['+/-', '-']",+,+,-,-,-,+,-,"['-', '+']",+,+,"['+/-', '-']",,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/340/465/GCF_004340465.1_genomic.fna.gz
Anoxybacillus amylolyticus,GCF_001634285.1,Bacillaceae,"Anoxybacteroides amylolyticum MR3C is a facultative anaerobe, spore-forming, thermophilic bacterium that was isolated from soil near fumaroles.",positive,rod-shaped,yes,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,+,+,+,-,-,+,-,+,-,-,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/634/285/GCF_001634285.1_genomic.fna.gz
Tetragenococcus muriaticus,GCF_000423785.1,Enterococcaceae,"Tetragenococcus muriaticus X-1 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from japanese local traditional fermented seafood.",positive,coccus-shaped,no,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/423/785/GCF_000423785.1_genomic.fna.gz
Pseudomonas azotoformans,GCF_900103345.1,Pseudomonadaceae,"Pseudomonas azotoformans DSM 18862 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from paddies.",negative,rod-shaped,yes,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,+,-,-,+,-,,,+,+,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/103/345/GCF_900103345.1_genomic.fna.gz
Escherichia fergusonii,GCF_000026225.1,Enterobacteriaceae,"Escherichia fergusonii 568-73 is a facultative anaerobe, mesophilic, Gram-negative human pathogen that was isolated from faeces of 1-year-old boy.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,"['+/-', '+']","['-', '+']",-,+,+,+,-,"['+/-', '+']",-,"['+/-', '+']","['+/-', '+']","['+/-', '+']","['+/-', '-']",-,+,-,-,"['+/-', '+']",-,-,-,+,-,+/-,"['+/-', '-']",+/-,+,"['+', '-']","['+/-', '-']","['+/-', '-']",-,+,-,-,"['+/-', '-']",-,-,-,"['+/-', '-']",-,-,-,-,-,+,-,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,-,+,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/026/225/GCF_000026225.1_genomic.fna.gz
Cedecea lapagei,GCF_900635955.1,Enterobacteriaceae,"Cedecea lapagei 004 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from human throat.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,"['-', '+']",+,-,-,-,+,+,+,+,+,+,+,+,"['+', '-']",-,+,-,-,-,-,-,-,+,-,"['+/-', '-']",-,+,-,+,-,"['-', '+']",+,"['+/-', '-']",,,,,,,,,-,-,-,,,,+,,,"['+', '-']",-,,,+,-,-,+,-,-,-,-,-,-,-,,,+,-,+,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,+,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/635/955/GCF_900635955.1_genomic.fna.gz
Pseudomonas marincola,GCF_900116605.1,Pseudomonadaceae,"Pseudomonas marincola DSM 23972 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from deep-sea brittle star.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/116/605/GCF_900116605.1_genomic.fna.gz
Pseudomonas tolaasii,GCF_002813445.1,Pseudomonadaceae,"Pseudomonas tolaasii B26 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from Agaricus bisporus.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,+,-,-,-,-,,,+,+,+,+,+,,,,,,,,,,,-,,,,,,,-,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/813/445/GCF_002813445.1_genomic.fna.gz
Mammaliicoccus lentus,GCF_002902755.1,Staphylococcaceae,"Staphylococcus lentus K 21 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from udder of goat.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,-,+/-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+/-,+/-,+,+,-,-,+,-,-,-,+,+,-,-,+/-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/755/GCF_002902755.1_genomic.fna.gz
Citrobacter sedlakii,GCF_000759835.1,Enterobacteriaceae,"Citrobacter sedlakii I-25 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human faeces.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,+,"['+/-', '+']",-,+,+,"['+/-', '+']","['+', '-']",+,-,-,+,"['+', '-']",+/-,-,+/-,+,+,+,+,-,+,-,-,-,-,-,-,"['+/-', '-']",-,-,-,-,+,-,-,+,+,-,,,,,,,,,-,-,+,,,,+,,,+,-,,,+,-,-,+,-,+,-,-,+,-,+,,,+,+,+,+,+,-,+,-,-,+,+,+,-,-,+,+,+,+,+,+,+,+,-,+,+,-,+,+,+,-,+,-,-,-,+,-,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/759/835/GCF_000759835.1_genomic.fna.gz
Pseudomonas libanensis,GCF_001439685.1,Pseudomonadaceae,"Pseudomonas libanensis CCUG 43190 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from spring water.",negative,rod-shaped,yes,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,+,-,-,-,-,,,+,+,+,+,-,,,,,,,,,-,+,+,+,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/685/GCF_001439685.1_genomic.fna.gz
Shouchella patagoniensis,GCF_002019705.1,Bacillaceae,"Shouchella patagoniensis DSM 16117 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from soil .",positive,rod-shaped,no,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,-,+,+,+,-,+,-,-,+,+,,+,+,,,-,,+,+,-,+,+,+,,+,+,,,-,+,+,-,-,,,-,-,+,+,-,,,,,,,,,,,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/019/705/GCF_002019705.1_genomic.fna.gz
Streptococcus cristatus,GCF_000385925.1,Streptococcaceae,"Streptococcus cristatus CR311 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from periodontal abscess.",positive,coccus-shaped,no,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+/-,-,+,+,-,-,-,-,-,-,-,+,-,+/-,+/-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/385/925/GCF_000385925.1_genomic.fna.gz
Macrococcus carouselicus,GCF_004359515.1,Staphylococcaceae,"Macrococcus carouselicus DD9348 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from skin of irish thoroughbred horse.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/515/GCF_004359515.1_genomic.fna.gz
Enterococcus pallens,GCF_000407485.1,Enterococcaceae,"Enterococcus pallens PQ2 is a microaerophile, spore-forming, mesophilic bacterium that was isolated from human peritoneal dialysate.",positive,coccus-shaped,no,-,+,-,-,+,-,-,-,-,+,+,+,-,-,-,+,-,-,-,"['+', '-']",-,-,+,+,-,-,"['+', '-']",-,+,+,+,+,"['+', '-']",-,+,-,+,"['+', '-']",-,-,+,+,+,+,+,+,+,"['+', '-']","['+', '-']","['+', '-']",+,-,"['+', '-']","['+', '-']",-,-,"['+', '-']","['+', '-']","['+', '-']","['+/-', '-']",+,-,-,"['+', '-']","['+', '-']","['+', '-']","['+/-', '+']","['+/-', '-']",,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/485/GCF_000407485.1_genomic.fna.gz
